,Province/State,Country/Region,Date,Lat,Long,Confirmed,Deaths,Recovered,MonthYear,Continent
71,Afghanistan,Afghanistan,2020-02-10,33.0,65.0,0,0,0,Feb-2020,
72,Afghanistan,Afghanistan,2020-02-11,33.0,65.0,0,0,0,Feb-2020,
73,Afghanistan,Afghanistan,2020-02-12,33.0,65.0,0,0,0,Feb-2020,
74,Afghanistan,Afghanistan,2020-02-13,33.0,65.0,0,0,0,Feb-2020,
75,Afghanistan,Afghanistan,2020-02-14,33.0,65.0,0,0,0,Feb-2020,
76,Afghanistan,Afghanistan,2020-02-15,33.0,65.0,0,0,0,Feb-2020,
77,Afghanistan,Afghanistan,2020-02-16,33.0,65.0,0,0,0,Feb-2020,
78,Afghanistan,Afghanistan,2020-02-17,33.0,65.0,0,0,0,Feb-2020,
79,Afghanistan,Afghanistan,2020-02-18,33.0,65.0,0,0,0,Feb-2020,
80,Afghanistan,Afghanistan,2020-02-19,33.0,65.0,0,0,0,Feb-2020,
81,Afghanistan,Afghanistan,2020-02-20,33.0,65.0,0,0,0,Feb-2020,
82,Afghanistan,Afghanistan,2020-02-21,33.0,65.0,0,0,0,Feb-2020,
83,Afghanistan,Afghanistan,2020-02-22,33.0,65.0,0,0,0,Feb-2020,
84,Afghanistan,Afghanistan,2020-02-23,33.0,65.0,0,0,0,Feb-2020,
85,Afghanistan,Afghanistan,2020-02-24,33.0,65.0,1,0,0,Feb-2020,
86,Afghanistan,Afghanistan,2020-02-25,33.0,65.0,1,0,0,Feb-2020,
87,Afghanistan,Afghanistan,2020-02-26,33.0,65.0,1,0,0,Feb-2020,
88,Afghanistan,Afghanistan,2020-02-27,33.0,65.0,1,0,0,Feb-2020,
89,Afghanistan,Afghanistan,2020-02-28,33.0,65.0,1,0,0,Feb-2020,
90,Afghanistan,Afghanistan,2020-02-29,33.0,65.0,1,0,0,Feb-2020,
91,Afghanistan,Afghanistan,2020-03-01,33.0,65.0,1,0,0,Mar-2020,
92,Afghanistan,Afghanistan,2020-03-02,33.0,65.0,1,0,0,Mar-2020,
93,Afghanistan,Afghanistan,2020-03-03,33.0,65.0,1,0,0,Mar-2020,
94,Afghanistan,Afghanistan,2020-03-04,33.0,65.0,1,0,0,Mar-2020,
95,Afghanistan,Afghanistan,2020-03-05,33.0,65.0,1,0,0,Mar-2020,
96,Afghanistan,Afghanistan,2020-03-06,33.0,65.0,1,0,0,Mar-2020,
97,Afghanistan,Afghanistan,2020-03-07,33.0,65.0,1,0,0,Mar-2020,
98,Afghanistan,Afghanistan,2020-03-08,33.0,65.0,4,0,0,Mar-2020,
99,Afghanistan,Afghanistan,2020-03-09,33.0,65.0,4,0,0,Mar-2020,
100,Afghanistan,Afghanistan,2020-03-10,33.0,65.0,5,0,0,Mar-2020,
101,Afghanistan,Afghanistan,2020-03-11,33.0,65.0,7,0,0,Mar-2020,
102,Afghanistan,Afghanistan,2020-03-12,33.0,65.0,7,0,0,Mar-2020,
103,Afghanistan,Afghanistan,2020-03-13,33.0,65.0,7,0,0,Mar-2020,
